ID_kod,PKWiU,CN
522,03.00.31.0,
523,03.00.32,
524,03.00.32.0,
525,03.00.4,
526,03.00.41,
527,03.00.41.0,
528,03.00.42,
529,03.00.42.0,
530,03.00.43,
531,03.00.43.0,
532,03.00.44,
533,03.00.44.0,
534,03.00.45,
535,03.00.45.0,
536,03.00.46,
537,03.00.46.0,
538,03.00.5,
539,03.00.51,
540,03.00.51.0,
541,03.00.52,
542,03.00.52.0,
543,03.00.6,
544,03.00.61,
545,03.00.61.0,
546,03.00.62,
547,03.00.62.0,
548,03.00.63,
549,03.00.63.0,
550,03.00.64,
551,03.00.64.0,
552,03.00.65,
553,03.00.65.0,
554,03.00.66,
555,03.00.66.0,
556,03.00.69,
557,03.00.69.0,
558,03.00.7,
559,03.00.71,
560,03.00.71.0,
561,03.00.72,
562,03.00.72.0,
563,B,
564,05,
565,05.1,
566,05.10,
567,05.10.1,
568,05.10.10,
569,05.10.10.0,
570,05.2,
571,05.20,
572,05.20.1,
573,05.20.10,
574,05.20.10.0,
575,06,
576,06.1,
577,06.10,
578,06.10.1,
579,06.10.10,
580,06.10.10.0,
581,06.10.2,
582,06.10.20,
583,06.10.20.0,
584,06.2,
585,06.20,
586,06.20.1,
587,06.20.10,
588,06.20.10.0,
589,07,
590,07.1,
591,07.10,
592,07.10.1,
593,07.10.10,
594,07.10.10.0,
595,07.2,
596,07.21,
597,07.21.1,
598,07.21.10,
599,07.21.10.0,
600,07.29,
601,07.29.1,
602,07.29.11,
603,07.29.11.1,
604,07.29.11.2,
605,07.29.12,
606,07.29.12.1,
607,07.29.12.2,
608,07.29.13,
609,07.29.13.1,
610,07.29.13.2,
611,07.29.14,
612,07.29.14.1,
613,07.29.14.2,
614,07.29.15,
615,07.29.15.1,
616,07.29.15.2,
617,07.29.15.3,
618,07.29.15.4,
619,07.29.15.5,
620,07.29.15.6,
621,07.29.19,
622,07.29.19.1,
623,07.29.19.2,
624,08,
625,08.1,
626,08.11,
627,08.11.1,
628,08.11.11,
629,08.11.11.0,
630,08.11.12,
631,08.11.12.0,
632,08.11.2,
633,08.11.20,
634,08.11.20.0,
635,08.11.3,
636,08.11.30,
637,08.11.30.0,
638,08.11.4,
639,08.11.40,
640,08.11.40.0,
641,08.12,
642,08.12.1,
643,08.12.11,
644,08.12.11.0,
645,08.12.12,
646,08.12.12.0,
647,08.12.13,
648,08.12.13.0,
649,08.12.2,
650,08.12.21,
651,08.12.21.0,
652,08.12.22,
653,08.12.22.0,
654,08.9,
655,08.91,
656,08.91.1,
657,08.91.11,
658,08.91.11.0,
659,08.91.12,
660,08.91.12.0,
661,08.91.19,
662,08.91.19.0,
663,08.92,
664,08.92.1,
665,08.92.10,
666,08.92.10.0,
667,08.93,
668,08.93.1,
669,08.93.10,
670,08.93.10.0,
671,08.99,
672,08.99.1,
673,08.99.10,
674,08.99.10.0,
675,08.99.2,
676,08.99.21,
677,08.99.21.0,
678,08.99.22,
679,08.99.22.0,
680,08.99.29,
681,08.99.29.0,
682,09,
683,09.1,
684,09.10,
685,09.10.1,
686,09.10.11,
687,09.10.11.0,
688,09.10.12,
689,09.10.12.0,
690,09.10.13,
691,09.10.13.0,
692,09.9,
693,09.90,
694,09.90.1,
695,09.90.11,
696,09.90.11.0,
697,09.90.19,
698,09.90.19.0,
699,C,
700,10,
701,10.1,
702,10.11,
703,10.11.1,
704,10.11.11,
705,10.11.11.0,
706,10.11.12,
707,10.11.12.0,
708,10.11.13,
709,10.11.13.0,
710,10.11.14,
711,10.11.14.0,
712,10.11.15,
713,10.11.15.0,
714,10.11.2,
715,10.11.20,
716,10.11.20.0,
717,10.11.3,
718,10.11.31,
719,10.11.31.0,
720,10.11.32,
721,10.11.32.0,
722,10.11.33,
723,10.11.33.0,
724,10.11.34,
725,10.11.34.0,
726,10.11.35,
727,10.11.35.0,
728,10.11.39,
729,10.11.39.0,
730,10.11.4,
731,10.11.41,
732,10.11.41.0,
733,10.11.42,
734,10.11.42.0,
735,10.11.43,
736,10.11.43.0,
737,10.11.44,
738,10.11.44.0,
739,10.11.45,
740,10.11.45.0,
741,10.11.5,
742,10.11.50,
743,10.11.50.0,
744,10.11.6,
745,10.11.60,
746,10.11.60.0,
747,10.11.9,
748,10.11.99,
749,10.11.99.0,
750,10.12,
751,10.12.1,
752,10.12.10,
753,10.12.10.0,
754,10.12.2,
755,10.12.20,
756,10.12.20.0,
757,10.12.3,
758,10.12.30,
759,10.12.30.0,
760,10.12.4,
761,10.12.40,
762,10.12.40.0,
763,10.12.5,
764,10.12.50,
765,10.12.50.0,
766,10.12.9,
767,10.12.99,
768,10.12.99.0,
769,10.13,
770,10.13.1,
771,10.13.11,
772,10.13.11.0,
773,10.13.12,
774,10.13.12.0,
775,10.13.13,
776,10.13.13.0,
777,10.13.14,
778,10.13.14.0,
779,10.13.15,
780,10.13.15.0,
781,10.13.16,
782,10.13.16.0,
783,10.13.9,
784,10.13.91,
785,10.13.91.0,
786,10.13.99,
787,10.13.99.0,
788,10.2,
789,10.20,
790,10.20.1,
791,10.20.11,
792,10.20.11.0,
793,10.20.12,
794,10.20.12.0,
795,10.20.13,
796,10.20.13.0,
797,10.20.14,
798,10.20.14.0,
799,10.20.15,
800,10.20.15.0,
801,10.20.16,
802,10.20.16.0,
803,10.20.2,
804,10.20.21,
805,10.20.21.0,
806,10.20.22,
807,10.20.22.0,
808,10.20.23,
809,10.20.23.0,
810,10.20.24,
811,10.20.24.0,
812,10.20.25,
813,10.20.25.0,
814,10.20.26,
815,10.20.26.0,
816,10.20.3,
817,10.20.31,
818,10.20.31.0,
819,10.20.32,
820,10.20.32.0,
821,10.20.33,
822,10.20.33.0,
823,10.20.34,
824,10.20.34.0,
825,10.20.4,
826,10.20.41,
827,10.20.41.0,
828,10.20.42,
829,10.20.42.0,
830,10.20.9,
831,10.20.91,
832,10.20.91.0,
833,10.20.99,
834,10.20.99.0,
835,10.3,
836,10.31,
837,10.31.1,
838,10.31.11,
839,10.31.11.0,
840,10.31.12,
841,10.31.12.0,
842,10.31.13,
843,10.31.13.0,
844,10.31.14,
845,10.31.14.0,
846,10.31.9,
847,10.31.91,
848,10.31.91.0,
849,10.31.99,
850,10.31.99.0,
851,10.32,
852,10.32.1,
853,10.32.11,
854,10.32.11.0,
855,10.32.12,
856,10.32.12.0,
857,10.32.13,
858,10.32.13.0,
859,10.32.14,
860,10.32.14.0,
861,10.32.15,
862,10.32.15.0,
863,10.32.16,
864,10.32.16.0,
865,10.32.17,
866,10.32.17.0,
867,10.32.19,
868,10.32.19.0,
869,10.32.9,
870,10.32.99,
871,10.32.99.0,
872,10.39,
873,10.39.1,
874,10.39.11,
875,10.39.11.0,
876,10.39.12,
877,10.39.12.0,
878,10.39.13,
879,10.39.13.0,
880,10.39.14,
881,10.39.14.0,
882,10.39.15,
883,10.39.15.0,
884,10.39.16,
885,10.39.16.0,
886,10.39.17,
887,10.39.17.0,
888,10.39.18,
889,10.39.18.0,
890,10.39.2,
891,10.39.21,
892,10.39.21.0,
893,10.39.22,
894,10.39.22.0,
895,10.39.23,
896,10.39.23.0,
897,10.39.24,
898,10.39.24.0,
899,10.39.25,
900,10.39.25.0,
901,10.39.29,
902,10.39.29.0,
903,10.39.3,
904,10.39.30,
905,10.39.30.0,
906,10.39.9,
907,10.39.91,
908,10.39.91.0,
909,10.39.99,
910,10.39.99.0,
911,10.4,
912,10.41,
913,10.41.1,
914,10.41.11,
915,10.41.11.0,
916,10.41.12,
917,10.41.12.0,
918,10.41.19,
919,10.41.19.0,
920,10.41.2,
921,10.41.21,
922,10.41.21.0,
923,10.41.22,
924,10.41.22.0,
925,10.41.23,
926,10.41.23.0,
927,10.41.24,
928,10.41.24.0,
929,10.41.25,
930,10.41.25.0,
931,10.41.29,
932,10.41.29.0,
933,10.41.3,
934,10.41.30,
935,10.41.30.0,
936,10.41.4,
937,10.41.41,
938,10.41.41.0,
939,10.41.42,
940,10.41.42.0,
941,10.41.5,
942,10.41.51,
943,10.41.51.0,
944,10.41.52,
945,10.41.52.0,
946,10.41.53,
947,10.41.53.0,
948,10.41.54,
949,10.41.54.0,
950,10.41.55,
951,10.41.55.0,
952,10.41.56,
953,10.41.56.0,
954,10.41.57,
955,10.41.57.0,
956,10.41.58,
957,10.41.58.0,
958,10.41.59,
959,10.41.59.0,
960,10.41.6,
961,10.41.60,
962,10.41.60.0,
963,10.41.7,
964,10.41.71,
965,10.41.71.0,
966,10.41.72,
967,10.41.72.0,
968,10.41.9,
969,10.41.99,
970,10.41.99.0,
971,10.42,
972,10.42.1,
973,10.42.10,
974,10.42.10.0,
975,10.42.9,
976,10.42.99,
977,10.42.99.0,
978,10.5,
979,10.51,
980,10.51.1,
981,10.51.11,
982,10.51.11.0,
983,10.51.12,
984,10.51.12.0,
985,10.51.2,
986,10.51.21,
987,10.51.21.0,
988,10.51.22,
989,10.51.22.0,
990,10.51.3,
991,10.51.30,
992,10.51.30.0,
993,10.51.4,
994,10.51.40,
995,10.51.40.0,
996,10.51.5,
