ID_kod,kod_pkwiu,Nazwa,numer_poziomu
1205,10.89.16,"Gotowa żywność łatwo psująca się, taka jak: kanapki i świeża pizza",6
1206,10.89.16.0,"Gotowa żywność łatwo psująca się, taka jak: kanapki i świeża pizza",7
1207,10.89.17,"Suplementy diety nadające się do spożycia przez ludzi",6
1208,10.89.17.0,"Suplementy diety nadające się do spożycia przez ludzi",7
1209,10.89.19,"Różne artykuły spożywcze (włączając karmel, ekstrakt słodowy), gdzie indziej niesklasyfikowane",6
1210,10.89.19.0,"Różne artykuły spożywcze (włączając karmel, ekstrakt słodowy), gdzie indziej niesklasyfikowane",7
1211,10.89.9,"Usługi podwykonawców związane z produkcją pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowanych",5
1212,10.89.99,"Usługi podwykonawców związane z produkcją pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowanych",6
1213,10.89.99.0,"Usługi podwykonawców związane z produkcją pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowanych",7
1214,10.9,"GOTOWE PASZE I GOTOWA KARMA DLA ZWIERZĄT",3
1215,10.91,"GOTOWE PASZE DLA ZWIERZĄT GOSPODARSKICH",4
1216,10.91.1,"Gotowe pasze dla zwierząt gospodarskich, z wyłączeniem mączki i granulek lucerny (alfalfa)",5
1217,10.91.10,"Gotowe pasze dla zwierząt gospodarskich, z wyłączeniem mączki i granulek lucerny (alfalfa)",6
1218,10.91.10.0,"Gotowe pasze dla zwierząt gospodarskich, z wyłączeniem mączki i granulek lucerny (alfalfa)",7
1219,10.91.2,"Mączka i granulki z lucerny (alfalfa)",5
1220,10.91.20,"Mączka i granulki z lucerny (alfalfa)",6
1221,10.91.20.0,"Mączka i granulki z lucerny (alfalfa)",7
1222,10.91.9,"Usługi podwykonawców związane z produkcją gotowych pasz dla zwierząt gospodarskich",5
1223,10.91.99,"Usługi podwykonawców związane z produkcją gotowych pasz dla zwierząt gospodarskich",6
1224,10.91.99.0,"Usługi podwykonawców związane z produkcją gotowych pasz dla zwierząt gospodarskich",7
1225,10.92,"Gotowa karma dla zwierząt domowych",4
1226,10.92.1,"Gotowa karma dla zwierząt domowych",5
1227,10.92.10,"Gotowa karma dla zwierząt domowych",6
1228,10.92.10.0,"Gotowa karma dla zwierząt domowych",7
1229,10.92.9,"Usługi podwykonawców związane z produkcją gotowej karmy dla zwierząt domowych",5
1230,10.92.99,"Usługi podwykonawców związane z produkcją gotowej karmy dla zwierząt domowych",6
1231,10.92.99.0,"Usługi podwykonawców związane z produkcją gotowej karmy dla zwierząt domowych",7
1232,11,NAPOJE,2
1233,11.0,NAPOJE,3
1234,11.01,"Napoje spirytusowe",4
1235,11.01.1,"Napoje spirytusowe",5
1236,11.01.10,"Napoje spirytusowe",6
1237,11.01.10.0,"Napoje spirytusowe",7
1238,11.01.9,"Usługi podwykonawców związane z produkcją napojów spirytusowych",5
1239,11.01.99,"Usługi podwykonawców związane z produkcją napojów spirytusowych",6
1240,11.01.99.0,"Usługi podwykonawców związane z produkcją napojów spirytusowych",7
1241,11.02,"WINA (GRONOWE)",4
1242,11.02.1,"WINA ZE ŚWIEŻYCH WINOGRON; MOSZCZ Z WINOGRON",5
1243,11.02.11,"Wina musujące ze świeżych winogron",6
1244,11.02.11.0,"Wina musujące ze świeżych winogron",7
1245,11.02.12,"Wina ze świeżych winogron, z wyłączeniem wina musującego; moszcz z winogron",6
1246,11.02.12.0,"Wina ze świeżych winogron, z wyłączeniem wina musującego; moszcz z winogron",7
1247,11.02.2,"Osad i kamień winny",5
1248,11.02.20,"Osad i kamień winny",6
1249,11.02.20.0,"Osad i kamień winny",7
1250,11.02.9,"Usługi podwykonawców związane z produkcją win gronowych",5
1251,11.02.99,"Usługi podwykonawców związane z produkcją win gronowych",6
1252,11.02.99.0,"Usługi podwykonawców związane z produkcją win gronowych",7
1253,11.03,"CYDR I POZOSTAŁE NAPOJE FERMENTOWANE",4
1254,11.03.1,"Pozostałe napoje fermentowane (np. cydr, perry, miód pitny); napoje mieszane zawierające alkohol",5
1255,11.03.10,"Pozostałe napoje fermentowane (np. cydr, perry, miód pitny); napoje mieszane zawierające alkohol",6
1256,11.03.10.0,"Pozostałe napoje fermentowane (np. cydr, perry, miód pitny); napoje mieszane zawierające alkohol",7
1257,11.03.9,"Usługi podwykonawców związane z produkcją cydru i pozostałych win owocowych",5
1258,11.03.99,"Usługi podwykonawców związane z produkcją cydru i pozostałych win owocowych",6
1259,11.03.99.0,"Usługi podwykonawców związane z produkcją cydru i pozostałych win owocowych",7
1260,11.04,"POZOSTAŁE NIEDESTYLOWANE NAPOJE FERMENTOWANE",4
1261,11.04.1,"Wermut i pozostałe wina aromatyzowane, ze świeżych winogron",5
1262,11.04.10,"Wermut i pozostałe wina aromatyzowane, ze świeżych winogron",6
1263,11.04.10.0,"Wermut i pozostałe wina aromatyzowane, ze świeżych winogron",7
1264,11.04.9,"Usługi podwykonawców związane z produkcją pozostałych niedestylowanych napojów fermentowanych",5
1265,11.04.99,"Usługi podwykonawców związane z produkcją pozostałych niedestylowanych napojów fermentowanych",6
1266,11.04.99.0,"Usługi podwykonawców związane z produkcją pozostałych niedestylowanych napojów fermentowanych",7
1267,11.05,PIWO,4
1268,11.05.1,"Piwo, z wyłączeniem odpadów browarnych",5
1269,11.05.10,"Piwo, z wyłączeniem odpadów browarnych",6
1270,11.05.10.0,"Piwo, z wyłączeniem odpadów browarnych",7
1271,11.05.2,"Pozostałości i odpady browarne i gorzelniane",5
1272,11.05.20,"Pozostałości i odpady browarne i gorzelniane",6
1273,11.05.20.0,"Pozostałości i odpady browarne i gorzelniane",7
1274,11.05.9,"Usługi podwykonawców związane z produkcją piwa",5
1275,11.05.99,"Usługi podwykonawców związane z produkcją piwa",6
1276,11.05.99.0,"Usługi podwykonawców związane z produkcją piwa",7
1277,11.06,SŁÓD,4
1278,11.06.1,SŁÓD,5
1279,11.06.10,SŁÓD,6
1280,11.06.10.0,SŁÓD,7
1281,11.06.9,"Usługi podwykonawców związane z produkcją słodu",5
1282,11.06.99,"Usługi podwykonawców związane z produkcją słodu",6
1283,11.06.99.0,"Usługi podwykonawców związane z produkcją słodu",7
1284,11.07,"NAPOJE BEZALKOHOLOWE; WODY MINERALNE I POZOSTAŁE WODY BUTELKOWANE",4
1285,11.07.1,"WODY MINERALNE I NAPOJE BEZALKOHOLOWE",5
1286,11.07.11,"Wody mineralne i wody gazowane, z wyłączeniem słodzonych i aromatyzowanych",6
1287,11.07.11.0,"Wody mineralne i wody gazowane, z wyłączeniem słodzonych i aromatyzowanych",7
1288,11.07.19,"Pozostałe napoje bezalkoholowe",6
1289,11.07.19.0,"Pozostałe napoje bezalkoholowe",7
1290,11.07.9,"Usługi podwykonawców związane z produkcją wód mineralnych i napojów bezalkoholowych",5
1291,11.07.99,"Usługi podwykonawców związane z produkcją wód mineralnych i napojów bezalkoholowych",6
1292,11.07.99.0,"Usługi podwykonawców związane z produkcją wód mineralnych i napojów bezalkoholowych",7
1293,12,"WYROBY TYTONIOWE",2
1294,12.0,"WYROBY TYTONIOWE",3
1295,12.00,"WYROBY TYTONIOWE",4
1296,12.00.1,"WYROBY TYTONIOWE, Z WYŁĄCZENIEM ODPADÓW TYTONIOWYCH",5
1297,12.00.11,"Cygara, nawet z obciętymi końcami, cygaretki i papierosy, z tytoniu lub namiastek tytoniu",6
1298,12.00.11.0,"Cygara, nawet z obciętymi końcami, cygaretki i papierosy, z tytoniu lub namiastek tytoniu",7
1299,12.00.12,"Tytoń częściowo lub całkowicie odżyłowany",6
1300,12.00.12.0,"Tytoń częściowo lub całkowicie odżyłowany",7
1301,12.00.19,"Pozostały przetworzony tytoń i jego namiastki; tytoń homogenizowany lub odtworzony; ekstrakty i esencje tytoniowe",6
